Image Name,Predicted Class
095_139+36.jpg,2
040_165+37.jpg,0
065_078+44.jpg,2
133_165+37.jpg,2
018_062+31.jpg,2
082_071+24.jpg,0
030_062+31.jpg,2
085_066+23.jpg,1
044_101+22.jpg,2
088_190+28.jpg,2
052_187+6.jpg,2
004_042+10.jpg,2
002_066+29.jpg,2
055_064+21.jpg,1
001_066+29.jpg,2
005_020+3.jpg,2
047_101+22.jpg,2
127_165+37.jpg,2
166_165+37.jpg,2
006_021+46.jpg,2
014_187+6-ball.jpg,2
DAR+35.jpg,1
203_165+37.jpg,0
FIR+32.jpg,1
002_021+41.jpg,2
178_SV-P+49.jpg,1
051_073+42.jpg,2
083_063+2.jpg,0
181_187+6-ball.jpg,2
GRA+43.jpg,1
085_108+34.jpg,0
108_102+14.jpg,2
065_071+39.jpg,2
166_SV-P+49.jpg,0
038_187+6.jpg,2
059_101+22.jpg,2
033_071+25.jpg,2
037_086+95.jpg,2
042_108+34.jpg,2
092_190+28.jpg,2
007_066+23.jpg,2
020_063+2.jpg,0
086_086+94.jpg,1
039_078+45.jpg,2
012_063+2.jpg,2
257_190+28.jpg,2
055_066+23.jpg,1
178_165+37.jpg,0
016_098+1.jpg,2
011_018+16.jpg,1
086_187+6.jpg,2
039_073+42.jpg,2
023_062+31.jpg,2
393_414+63.jpg,1
033_071+24.jpg,2
005_100+5.jpg,2
022_022+54.jpg,1
026_086+95.jpg,2
060_108+34.jpg,2
170_187+6-ball.jpg,1
044_066+29.jpg,2
173_190+28.jpg,1
009_023+47.jpg,0
015_022+26.jpg,1
066_066+23.jpg,1
002_078+45.jpg,2
015_021+53.jpg,1
084_102+14.jpg,2
008_SV-P+49.jpg,0
067_139+36.jpg,2
082_106+8.jpg,2
200_190+28.jpg,2
041_086+94.jpg,2
129_139+36.jpg,1
053_073+42.jpg,2
024_063+2.jpg,2
064_062+31.jpg,0
292_190+28.jpg,2
020_064+9.jpg,2
062_187+6-ball.jpg,0
040_086+94.jpg,2
078_064+21.jpg,0
035_071+24.jpg,2
066_062+31.jpg,0
061_064+21.jpg,1
125_175+7.jpg,1
046_078+45.jpg,2
096_106+8.jpg,1
059_139+36.jpg,2
054_071+40.jpg,0
LIG+13.jpg,1
027_066+23.jpg,2
100_187+6-ball.jpg,0
003_086+94.jpg,0
023_086+95.jpg,2
031_062+31.jpg,2
004_102+14.jpg,2
015_108+34.jpg,2
LIG+41.jpg,1
055_071+39.jpg,2
056_071+39.jpg,2
116_187+6-ball.jpg,0
076_071+25.jpg,0
140_187+6.jpg,1
080_086+94.jpg,1
027_063+2.jpg,2
032_086+94.jpg,2
039_066+29.jpg,2
033_190+28.jpg,2
061_086+94.jpg,2
084_106+8.jpg,0
047_175+7.jpg,2
070_064+21.jpg,2
024_086+95.jpg,2
047_102+14.jpg,2
058_066+13.jpg,1
026_066+29.jpg,2
069_190+28.jpg,2
057_100+5.jpg,2
014_022+20.jpg,1
054_086+95.jpg,2
046_100+5.jpg,0
007_022+27.jpg,2
142_190+28.jpg,2
050_165+37.jpg,2
006_023+47.jpg,2
027_175+7.jpg,2
017_066+23.jpg,2
015_139+36.jpg,2
089_064+9.jpg,0
024_SV-P+49.jpg,2
LIG+49.jpg,1
060_071+40.jpg,2
122_106+8.jpg,2
002_102+14.jpg,2
007_021+41.jpg,2
026_071+25.jpg,2
017_024+56.jpg,1
061_064+9.jpg,1
153_184+85.jpg,1
057_139+36.jpg,2
003_020+3.jpg,2
076_175+7.jpg,2
025_071+40.jpg,2
058_187+6.jpg,2
084_066+30.jpg,0
004_022+20.jpg,0
129_187+6-ball.jpg,0
007_020+33.jpg,2
022_062+31.jpg,2
024_028+65.jpg,1
063_190+28.jpg,2
176_187+6.jpg,1
165_187+6.jpg,1
003_066+13.jpg,2
027_187+6.jpg,0
008_062+31.jpg,2
018_021+19.jpg,1
101_SV-P+49.jpg,2
004_066+30.jpg,2
019_102+14.jpg,0
102_102+14.jpg,2
133_139+36.jpg,1
027_064+9.jpg,0
008_008+12.jpg,2
003_078+45.jpg,2
016_022+55.jpg,1
130_108+34.jpg,0
318_190+28.jpg,2
022_022+55.jpg,1
004_106+8.jpg,2
020_023+47.jpg,1
095_098+1.jpg,1
129_100+5.jpg,0
138_172+51.jpg,1
031_165+37.jpg,2
060_106+8.jpg,2
015_021+19.jpg,1
MET+35.jpg,1
058_071+40.jpg,2
155_190+28.jpg,2
068_098+1.jpg,2
017_071+40.jpg,2
080_100+5.jpg,2
108_175+7.jpg,2
158_184+67.jpg,1
145_187+6-ball.jpg,1
377_414+63.jpg,1
FIR+50.jpg,1
044_078+44.jpg,2
162_187+6.jpg,1
021_022+20.jpg,1
202_190+28.jpg,2
041_187+6.jpg,0
120_101+22.jpg,0
234_190+28.jpg,2
063_066+13.jpg,1
052_102+14.jpg,2
288_190+28.jpg,2
012_066+13.jpg,2
016_042+10.jpg,1
015_098+1.jpg,0
110_190+28.jpg,2
125_100+5.jpg,0
043_187+6-ball.jpg,2
017_086+94.jpg,2
156_190+28.jpg,1
092_064+21.jpg,0
076_071+24.jpg,2
014_021+4.jpg,1
037_071+24.jpg,2
014_022+18.jpg,1
FIR+49.jpg,1
072_066+23.jpg,0
258_190+28.jpg,2
031_071+24.jpg,2
063_187+6.jpg,0
189_190+28.jpg,1
038_078+44.jpg,2
021_098+1.jpg,2
001_102+14.jpg,2
111_187+6-ball.jpg,2
051_100+5.jpg,2
082_139+36.jpg,2
045_066+29.jpg,2
FIG+15.jpg,1
067_175+7.jpg,2
112_102+14.jpg,2
145_176+90.jpg,1
015_071+39.jpg,2
009_066+23.jpg,0
